PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Stavridis, C; Patsakidou, T; Katsifarakis, KL		Bikas, D; Theodosiou, T; Katerina, T		Stavridis, Ch.; Patsakidou, Th.; Katsifarakis, K. L.			Use of Groundwater Resources in Urban Areas. Environmental Benefits and Cost Considerations	SUSTAINABLE SYNERGIES FROM BUILDINGS TO THE URBAN SCALE	Procedia Environmental Sciences				International Conference on Sustainable Synergies from Buildings to the Urban Scale (SBE)	OCT 16-19, 2016	Thessaloniki, GREECE	Aristotle Univ Thessaloniki, Fac Engn, Dept Civil Engn, Lab Building Construct & Building Phys, Tech Chamber Greece				Water resources management is the scientific task of matching water supply to water demand. Indicators show that many regions in the European area already suffer from water stress conditions. Meeting domestic water demand is a top priority and may require water transport to urban centers from rather long distances and from different hydrologic basins, in addition to its costly and energy demanding treatment. The EU recognizes the need and the importance of sustainability and more efficient water management through the Water Framework Directive 2000/60. A significant percentage of domestic water is consumed for secondary uses, which do not require potable water quality. In this paper we study the substitution of potable water by ground water that could be pumped from a rather shallow aquifer, in the city of Thessaloniki, Greece, in secondary uses (building cleaning, toilet flushing) and irrigation. It is proved that this solution, which serves the goals of the Water Framework Directive, is economically viable. (C) 2017 Published by Elsevier B.V.																	1878-0296						2017	38						860	866		10.1016/j.proenv.2017.03.172								WOS:000410925400109						
J	Tawong, W				Tawong, Wittaya			Diversity of the Potential 2-Methylisoborneol-Producing Genotypes in Thai Strains of Planktothricoides (Cyanobacteria)	BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY												The genus Planktothricoides Suda & Watanabe is considered as a 2-methylisoborneol (MIB) producer, affecting water quality and aquatic animal products worldwide. To date, there is limited information about the diversity of this genus from Thailand. In this study, Thai Planktothricoides strains were isolated from fish ponds and reservoirs in North, Northeast and Central regions for morphological examination, phylogenetic analyses based on 16S rRNA, rbcLX and MIB synthase genes as well as GC/MS/MS analyses. The morphological results and the 16S rRNA and rbcLX phylogenies of Thai Planktothricodes strains enabled them to be designated as Planktothricoides raciborskii. Cell dimensions of Thai strains tested were in 1.86 to 5.96 mu m length (L), 2.83 to 13.70 mu m width (W), and the L/W ratio ranged from 1:6 to 1:1. Among Planktothricoides strains, the 16S rRNA phylogenies demonstrated that three subclades (A, B and C groups) were apparently divided. The similarity of 16S rRNA genes between subclades were 96-98%. From the detection of MIB synthase genes and GC/MS/MS analyses, some strains grouped into A group were considered as MIB-producers. In this study, most Thai Planktothricoides strains belonging to the A group were found in all three regions, while the strains forming the B and C groups were not distributed in the North region. To our knowledge, the present study is the first report investigation and characterization of the potential MIB-producing Planktothricoides from Thailand. Therefore, providing a valuable tool as a model for the early prediction and detection of taste and odor event is necessary.																	1516-8913	1678-4324				JAN-DEC	2017	60								UNSP e17160567									WOS:000410083300001						
S	Cafe, AI; Lopez, J; Lopez, L; Faustino, MA; Mabilangan, A; Salvador, A; Somintac, A		Ahmad, MN; Kamarudin, K; Zakaria, SMMS; Zaaba, SK; Shakaff, AYM; Zakaria, A; Arina, N; Ramli, H		Cafe, Arven I.; Lopez, Joybelle; Lopez, Lorenzo, Jr.; Angela Faustino, Maria; Mabilangan, Arvin; Salvador, Arnel; Somintac, Armando			Porous silicon optical template for determination of chromatic dispersion of transparent liquid mixture	11TH ASIAN CONFERENCE ON CHEMICAL SENSORS (ACCS2015)	AIP Conference Proceedings				11th Asian Conference on Chemical Sensors (ACCS)	NOV 16-17, 2015	Penang, MALAYSIA	Univ Malaysia Perlis, Malaysian Agr Res & Dev Inst, Malaysian Biotechnol Corp Sdn Bhd, Japan Assoc Chem Sensors, Inno Lab Engn Sdn Bhd, Metrohm Sdn Bhd, Green Sci Sdn Bhd, Adsitech Sdn Bhd, NS ARIES SDN BHD, Sentech Korea Corp				Porous silicon was fabricated through electrochemical etching and is used as an optical template for liquid sensing application. Using reflectance spectroscopy, change in optical properties such as refractive index and reflectivity upon liquid introduction were obtained. Chromatic dispersion of porous silicon upon detection of transparent liquids such as absolute ethanol, methanol, 2-propanol and distilled water were determined for spectral range 450nm to 1100nm. Mixture of the organic transparent liquid and water was also tested. In this study, porosity and liquid's concentration were varied to establish the sensitivity of detection. Expected ideal values were also simulated for comparison and correction factor computation. Results provide calibration basis for water quality assessment, environmental monitoring, and diagnostic application.																	0094-243X		978-0-7354-1476-1				2017	1808								UNSP 020012-1	10.1063/1.4975245								WOS:000409359600012						
S	Tang, JJL; Nishi, PJ; Chong, GEW; Wong, MG; Chua, HS; Persaud, K; Ng, SM		Ahmad, MN; Kamarudin, K; Zakaria, SMMS; Zaaba, SK; Shakaff, AYM; Zakaria, A; Arina, N; Ramli, H		Tang, Johnny Jock Lee; Nishi, Phyllis Jacqueline; Chong, Gabriel Eng Wee; Wong, Martin Gideon; Chua, Hong Siang; Persaud, Krishna; Ng, Sing Muk			River Water Quality Analysis via Headspace Detection of Volatile Organic Compounds	11TH ASIAN CONFERENCE ON CHEMICAL SENSORS (ACCS2015)	AIP Conference Proceedings				11th Asian Conference on Chemical Sensors (ACCS)	NOV 16-17, 2015	Penang, MALAYSIA	Univ Malaysia Perlis, Malaysian Agr Res & Dev Inst, Malaysian Biotechnol Corp Sdn Bhd, Japan Assoc Chem Sensors, Inno Lab Engn Sdn Bhd, Metrohm Sdn Bhd, Green Sci Sdn Bhd, Adsitech Sdn Bhd, NS ARIES SDN BHD, Sentech Korea Corp				Human civilization has intensified the interaction between the community and the environment. This increases the threat on the environm ent for being over exploited and contaminated with m anmade products and synthetic chemicals. Of all, clean water is one of the resources that can be easily contaminated since it is a universal solvent and of high mobility. This work reports the development and optimization of a water quality monitoring system based on metal oxide sensors. The system is intended to a ssist the detection of volatile organic compounds (VOCs) present in water sources online and onsite. The sampling mechanism was based on contactless mode, where headspace partial pressure of the VOCs formed above the water body in a close chamber was drawn for detection at the sensor platform. Pure toluene was used as standard to represent the broad spectrum of VOCs, and the sensor dynamic range was achieved from 1-1000 ppb. Several sensing parameters such as sampling time, headspace volume, and sensor recovery were s tudied and optimized. Besides direct detection of VOC contaminants in the water, the work has also been extended to detect VOCs produced by microbial communities and to c orrelate the size of the communities with the reading of V OCs recorded. This can serve to give b etter indication of water quality, not only on the conce ntration of VOCs c ontamination from chemicals, but also the content of microbes, which some can have severe effect on human health.					Persaud, Krishna/0000-0001-5730-9568												0094-243X		978-0-7354-1476-1				2017	1808								UNSP 020053-1	10.1063/1.4975286								WOS:000409359600053						
S	Ismail, Z; Mahmood, NAN; Ghafar, USA; Umor, NA; Muhammad, SAF		Saptoro, A; Khur, WS; Wei, LS; Ng, WPQ; Anwar, M; Yeo, C; Huey, KE		Ismail, Z.; Mahmood, N. A. N.; Ghafar, U. S. A.; Umor, N. A.; Muhammad, S. A. F.			Preliminary Studies on Oleochemical Wastewater Treatment using Submerged Bed Biofilm Reactor (SBBR)	29TH SYMPOSIUM OF MALAYSIAN CHEMICAL ENGINEERS (SOMCHE) 2016	IOP Conference Series-Materials Science and Engineering				29th Symposium of Malaysian Chemical Engineers (SOMChE)	DEC 01-03, 2016	Miri, MALAYSIA	Curtin Univ, Dept Chem Engn, Inst Chem Engineers, Curtin Univ, Sarawak Convent Bur, Sarawak Shell Berhad, Solut Engn, MMI Engn, CREST NanoSolut, Young Scientists Network Malaysia, Inst Mat Malaysia, Sarawak Toursim Board, ACS Malaysia Chapter				Wastewater discharge from the industry into water sources is one of the main reason for water pollution. The oleochemicals industry effluent produces high content of chemical oxygen demand (COD) with value between 6000-20,000 ppm. Effective treatment is required before wastewater effluent is discharged to environment. The aim of the study is to develop submerged bed biofilm reactor (SBBR) with packing materials in the cosmoball (R) carrier. Water quality such as chemical oxygen demands (COD), turbidity and pH were analysed. The result shows that the initial COD of 6000 ppm was reduced below 200 ppm. The optimum conditions for SBBR were obtained when green sponges used as packing material in cosmoball (R); effluent flowrate set at 100 mL/min; 1: 1 ratio of cosmoball (R) volume to reactor volume and 1: 1 ratio of active sludge (mixed culture) volume to reactor volume. Turbidity and pH were recorded with 9.0 NTU and 7.0 respectively, which indicated that SBBR is feasible as an alternative for conventional biological treatment in oleochemical industry.																	1757-8981						2017	206								UNSP 012087	10.1088/1757-899X/206/1/012087								WOS:000409334500087						
S	Ng, LY; Ng, CY		Saptoro, A; Khur, WS; Wei, LS; Ng, WPQ; Anwar, M; Yeo, C; Huey, KE		Ng, L. Y.; Ng, C. Y.			Performance Study of Ceramic Filter Module in Recirculated Aquaculture System (RAS)	29TH SYMPOSIUM OF MALAYSIAN CHEMICAL ENGINEERS (SOMCHE) 2016	IOP Conference Series-Materials Science and Engineering				29th Symposium of Malaysian Chemical Engineers (SOMChE)	DEC 01-03, 2016	Miri, MALAYSIA	Curtin Univ, Dept Chem Engn, Inst Chem Engineers, Curtin Univ, Sarawak Convent Bur, Sarawak Shell Berhad, Solut Engn, MMI Engn, CREST NanoSolut, Young Scientists Network Malaysia, Inst Mat Malaysia, Sarawak Toursim Board, ACS Malaysia Chapter				The growth of world population has led to significant increase in seafood demand over the world. Aquaculture has been widely accepted by many countries to increase the seafood production owing to the decline of natural seafood resources. The aquaculture productivity, however, is directly linked to the pond water quality. In this study, attempts were made to employ ceramic micro-filter to improve the pond water quality through filtration processes. There were two batches of filtration processes, short term (1 hour) and long term (48 hours). Significant improvements on real pond water quality were recorded through the short term microfiltration process, which reduced turbidity (96%), total suspended solids (TSS) (80%), biochemical oxygen demand (BOD) (72%), chemical oxygen demand (COD) (55%), ammonia (60%), nitrate (96%) and phosphorus (83%). The long term filtration process also showed high efficiency in the removal of solid particle and organic matters. The results showed that all of the parameters were successfully reduced to acceptable ranges (turbidity<80 NTU, TSS<400 mg/L, BOD<5 mg/L, COD<70 mg/L, phosphate<3 mg/L and ammonia<0.05 mg/L) for fish culturing activity. Based on current study, there was a drastic increase in nitrate content after 24 hours due to the nitrification process by regenerated bacteria in the filtered pond water. Current study showed that the microfiltration using ceramic micro-filter has high potential to be used in recirculating aquaculture system throughout the aquaculture activities in order to maintain the pond water quality, thus, increase the survival rate of cultured species.																	1757-8981						2017	206								UNSP 012080	10.1088/1757-899X/206/1/012080								WOS:000409334500080						
J	Elipek, BC; Guher, H; Oterler, B; Divrik, MT; Mimiroglu, PA				Elipek, Belgin Camur; Guher, Huseyin; Oterler, Burak; Divrik, Menekse Tas; Mimiroglu, Pinar Altinoluk			DETERMINING OF WATER QUALITY BY USING MULTIVARIATE ANALYSIS TECHNIQUES IN A DRINKING/USING WATER RESERVOIR IN TURKEY	FRESENIUS ENVIRONMENTAL BULLETIN												l This study has been carried out to assess the water quality of a drinking/using water reservoir in Turkey by using the different multivariate statistical techniques (Bray-Curtis cluster analysis (BCCA), principle component analysis (PCA), and correspondence analysis (CA) methods). The annual dataset belonging physical and chemical features in the reservoir was obtained by the monthly intervals between the years 2010 and 2011. A total of 15 parameters (temperature, dissolved oxygen (DO), biological oxygen demand (BOD5), light permeability, conductivity, salinity, chloride, pH, total hardness, Ca, Mg, NO2-N, NO3-N, o-PO4, SO4) have been monitored at three different sampling stations in the reservoir and a total of 495 observations were grouped statistically. The sampled periods have been classified into three different groups by using the BCCA. The results were supported by the PCA and CA statistical methods. Consequently, in order to determine and to evaluate for large complex datasets that belong to environmental properties, multivariate analyses are very useful techniques. Thus, the sampling periods to monitor the physicochemical including in a water resource can be determined.																	1018-4619	1610-2304					2017	26	8					5007	5012										WOS:000409399600012						
J	Tunc, MS; Tepe, O; Unlu, A; Dursun, AY; Yaman, M				Tunc, Muslun Sara; Tepe, Ozlem; Unlu, Ayhan; Dursun, Arzu Y.; Yaman, Mehmet			ASSESSMENT OF GROUNDWATER QUALITY IN ULUOVA, ELAZIG, TURKEY	FRESENIUS ENVIRONMENTAL BULLETIN												The Uluova (Elazig) plain is located in the west of East Anatolia Region and in the 15 km northeast of Eastern Anatolia Fault Zone. The water supplied from the wells in Uluova region is used as drinking, domestic and irrigation water. In the study, the groundwater samples were taken from several wells in Uluova region in March, April, May and September 2007 and March and April 2014 to examine the quality of groundwater in the Uluova region, Elazig, Turkey. They were assayed for quality parameters including pH, electrical conductivity (EC), total dissolved solids (TDS), hardness, NH4-N, NO2-N, NO3-N, sulfate, chloride, Ca2+, Mg2+, Na+, K+, Al, Cd, Pb, Ni and total and fecal coliforms. The results obtained were checked against the national and international drinking water standards and indicated that the groundwater samples were utilizable as drinking water based on the physical and the chemical parameters analyzed. Moreover, its suitability for irrigation purpose was evaluated in terms of sodium percentage (Na %) and sodium adsorption ratio (SAR). It was determined that the obtained concentrations of cadmium, lead, nickel and aluminum were lower than the guideline values; the studied water samples were appropriate for both drinking and irrigation purpose.																	1018-4619	1610-2304					2017	26	8					5092	5102										WOS:000409399600023						
J	Markovic, M; Miloradov, MV; Ignjatovic, L; Obrovski, B; Cavic, A; Mihajlovic, I				Markovic, Milenija; Miloradov, Mirjana Vojinovic; Ignjatovic, Ljubisa; Obrovski, Boris; Cavic, Aleksandra; Mihajlovic, Ivana			ECOLOGICAL STATUS OF ARTIFICIAL ACCUMULATION LAKE VRUTCI, CASE STUDY, SERBIA	FRESENIUS ENVIRONMENTAL BULLETIN												At the locality of Western Serbia, in the water samples and sediment in the catchment area of the artificial accumulation Vrutci, the presence of emerging substances and heavy metal cations (Pb2+, As3+ and Hg2+) were examined. In the 2011 monitoring in the tributary Djetinja, in the lake accumulation Vrutci with the sampling points at the rivers flow in the Lake, Brana, Nikolici was carried out. In the 2014, monitoring of tributary Djetinja, and representative sampling points Brana, Nikolici and Omar were conducted. The obtained results, at all measuring profiles of river and lake water, showed that concentrations of hazard cations (mu g/L) of Pb2+, Cd2+ and Hg2+ significantly exceeded the maximum allowable concentrations (MAC), and could cause negative impact on the environment. Concentrations of As3+ in water samples at all measured sampling points were within the MAC according to Serbian low and by-lows. The pH of the lake water was from 7.42 to 8.72, the concentration of dissolved oxygen from 3.53 mg/L to 8.82 mg/L and according to those results water lake belong to the fifth class of ecological potential. The higher concentration of Hg cation was in the lake than in the river waters sample tributaries, which indicate the high anthropogenic activities (unsanitary landfills, solid waste, etc.) as the pollution sources on the lake banks. Determined results showed that concentrations of mercury, cadmium, arsenic and lead cations (mg/kg) in sediment and tributaries were significantly lower than the MAC values. Based on two years monitoring results in water sample of tributaries, mathematical regression model was developed to predict the concentrations of heavy metal cations in lake water. High level of correspondence was achieved between dendrograms and real situation in lake accumulation. In December 2013, toxic contamination with cyanobacteria was occurred and use of lake water for production of drinking water for city Uzice and surround settlements was banned. The research activities on lake water quality presented in this paper are the unique model of the Case Study for the first time performed for the ecological status of artificial lake accumulation Vrutci in Serbia.																	1018-4619	1610-2304					2017	26	8					5184	5189										WOS:000409399600035						
J	Zhou, J; Zheng, QT; Ruan, ZY; Zhao, M; Zheng, XY; Kongo, HN				Zhou, Jin; Zheng, Qiuting; Ruan, Zhe-you; Zhao, Min; Zheng, Xiang-yong; Kongo, Hai-nan			EFFECT OF ZEOLITE SIZE DISTRIBUTION ON THE PERFORMANCE OF BIO-TICKING FILTER USED FOR BLACK WATER TREATMENT	FRESENIUS ENVIRONMENTAL BULLETIN												The efficiency of bio-tricking filter used for domestic sewage, livestock wastewater, food wastewater, etc. was universally dependent on zeolite size distribution, however its influence rule for black water treatment is still unclear now. In this study, we constructed five kinds of bio-trickling filters loaded with different size distribution of zeolite to systematically investigate the removal characteristics of turbidity, ammonia nitrogen (NH4+-N), total nitrogen (TN), total phosphorus (TP) and chemical oxygen demand (COD) of black water. The results showed that under the same hydraulic loading and influent water quality, the filter filled of small (5mm or less) size zeolite and another one covered with large-size (15-30mm), medium-size (5-15mm), small-size in sequence were better than those filled with large and medium size zeolite respectively or the mixture of three size on the removal efficiency of turbidity, NH4+-N, TN, TP and COD. Although the removal efficiency of the filter filled of small size zeolite was similar to layered model, layered model gave optimal performance for treating water considering the issues of cost and clogging. When the average concentrations of turbidity, NH4+-N, TN, TP, COD were 286.5 NTU, 116.1 mg/L, 159.8 mg/L, 14.9 mg/L, 742.4 mg/L in black-water, the layered model reached them reduction of 88.6%, 97.3%, 70.5%, 22.5%, 77.2%.																	1018-4619	1610-2304					2017	26	8					5190	5197										WOS:000409399600036						
